Year,Migrationsstatus,Überwiegender Lebensunterhalt,Units,Value
2015,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.152702493418
2015,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.91193181818182
2014,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,1.61766993311557
2014,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,1.90895741556535
2013,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,1.44359014592813
2013,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.1291696238467
2012,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.09553158705701
2012,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.74599542334096
2011,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.04081632653061
2011,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",%,2.356637863315
