Year,Wirtschaftsabschnitte (WZ 2008) Zusammenfassungen,Geschlecht,Units,Value
2015,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,38.96606
2015,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,88.92956
2015,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,17.81952
2015,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,268.76833
2014,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,3.28202
2014,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,32.59796
2014,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.54582
2014,Baugewerbe,Frauen,in 1000,3.6626
2014,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,44.21676
2014,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,9.52186
2014,Gastgewerbe,Frauen,in 1000,21.42121
2014,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,38.12586
2014,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,86.62658
2014,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,18.08278
2014,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,263.9347
2013,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,2.4825
2013,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,31.45949
2013,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,2.44398
2013,Baugewerbe,Frauen,in 1000,4.06739
2013,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,45.74917
2013,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,9.99216
2013,Gastgewerbe,Frauen,in 1000,23.15866
2013,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,40.84127
2013,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,83.31858
2013,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,19.79946
2013,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,269.04737
2012,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,2.3545
2012,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,28.39717
2012,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,2.04855
2012,Baugewerbe,Frauen,in 1000,3.53216
2012,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,40.6141
2012,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,8.66823
2012,Gastgewerbe,Frauen,in 1000,23.70417
2012,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,34.40623
2012,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,79.87762
2012,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,21.0427
2012,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,251.34277
2011,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,2.84619
2011,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,30.17259
2011,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,1.18674
2011,Baugewerbe,Frauen,in 1000,3.95919
2011,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,42.3938
2011,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,7.19041
2011,Gastgewerbe,Frauen,in 1000,21.75833
2011,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,37.50856
2011,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,76.42837
2011,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,16.17919
2011,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,245.06874
2010,Land- und Forstwirtschaft  Fischerei,Frauen,in 1000,
2010,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Frauen,in 1000,30.53241
2010,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Frauen,in 1000,
2010,Baugewerbe,Frauen,in 1000,
2010,Handel  Instandhaltung und Reparatur von Kfz,Frauen,in 1000,38.77542
2010,Verkehr und Lagerei; Information und Kommunikation,Frauen,in 1000,7.50441
2010,Gastgewerbe,Frauen,in 1000,20.54298
2010,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Frauen,in 1000,35.65829
2010,Öff.Verwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Frauen,in 1000,79.9822
2010,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Frauen,in 1000,17.19898
2010,Insgesamt (inkl. sonstiger Abschnitte),Frauen,in 1000,243.49507
