Year,Altersgruppe,Geschlecht,Migrationsstatus,Units,Value
2014,25 – 35,Frauen,ohne Migrationshintergrund,%,3.65
2014,35 – 45,Frauen,ohne Migrationshintergrund,%,2.77
2014,45 – 55,Frauen,ohne Migrationshintergrund,%,2.74
2014,55 – 65,Frauen,ohne Migrationshintergrund,%,2.14
2014,15 – 65,Frauen,ohne Migrationshintergrund,%,2.69
2014,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.19
2014,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.97
2014,35 – 45,Insgesamt,mit Migrationshintergrund,%,5.41
2014,45 – 55,Insgesamt,mit Migrationshintergrund,%,5.71
2014,55 – 65,Insgesamt,mit Migrationshintergrund,%,5.32
2014,15 – 65,Insgesamt,mit Migrationshintergrund,%,5.34
2014,15 – 25,Männer,mit Migrationshintergrund,%,4.04
2014,25 – 35,Männer,mit Migrationshintergrund,%,6.78
2014,35 – 45,Männer,mit Migrationshintergrund,%,6.5
2014,45 – 55,Männer,mit Migrationshintergrund,%,6.71
2014,55 – 65,Männer,mit Migrationshintergrund,%,7.33
2014,15 – 65,Männer,mit Migrationshintergrund,%,6.23
2014,15 – 25,Frauen,mit Migrationshintergrund,%,4.36
2014,25 – 35,Frauen,mit Migrationshintergrund,%,5.13
2014,35 – 45,Frauen,mit Migrationshintergrund,%,4.38
2014,45 – 55,Frauen,mit Migrationshintergrund,%,4.67
2014,55 – 65,Frauen,mit Migrationshintergrund,%,3.47
2014,15 – 65,Frauen,mit Migrationshintergrund,%,4.45
2013,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.92
2013,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,4.95
2013,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,3.94
2013,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,3.36
2013,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.19
2013,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.81
2013,15 – 25,Männer,mit und ohne Migrationshintergrund,%,4.29
2013,25 – 35,Männer,mit und ohne Migrationshintergrund,%,6.14
2013,35 – 45,Männer,mit und ohne Migrationshintergrund,%,4.52
2013,45 – 55,Männer,mit und ohne Migrationshintergrund,%,3.54
2013,55 – 65,Männer,mit und ohne Migrationshintergrund,%,3.8
2013,15 – 65,Männer,mit und ohne Migrationshintergrund,%,4.37
2013,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,3.52
2013,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,3.76
2013,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,3.34
2013,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,3.18
2013,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.6
2013,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,3.25
2013,15 – 25,Insgesamt,ohne Migrationshintergrund,%,3.84
2013,25 – 35,Insgesamt,ohne Migrationshintergrund,%,4.63
2013,35 – 45,Insgesamt,ohne Migrationshintergrund,%,3.48
2013,45 – 55,Insgesamt,ohne Migrationshintergrund,%,2.99
2013,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.79
2013,15 – 65,Insgesamt,ohne Migrationshintergrund,%,3.44
2013,15 – 25,Männer,ohne Migrationshintergrund,%,4.1
2013,25 – 35,Männer,ohne Migrationshintergrund,%,5.68
2013,35 – 45,Männer,ohne Migrationshintergrund,%,3.87
2013,45 – 55,Männer,ohne Migrationshintergrund,%,3.04
2013,55 – 65,Männer,ohne Migrationshintergrund,%,3.03
2013,15 – 65,Männer,ohne Migrationshintergrund,%,3.8
2013,15 – 25,Frauen,ohne Migrationshintergrund,%,3.57
2013,25 – 35,Frauen,ohne Migrationshintergrund,%,3.57
2013,35 – 45,Frauen,ohne Migrationshintergrund,%,3.08
2013,45 – 55,Frauen,ohne Migrationshintergrund,%,2.94
2013,55 – 65,Frauen,ohne Migrationshintergrund,%,2.56
2013,15 – 65,Frauen,ohne Migrationshintergrund,%,3.08
2013,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.17
2013,25 – 35,Insgesamt,mit Migrationshintergrund,%,5.89
2013,35 – 45,Insgesamt,mit Migrationshintergrund,%,5.71
2013,45 – 55,Insgesamt,mit Migrationshintergrund,%,5.5
2013,55 – 65,Insgesamt,mit Migrationshintergrund,%,5.66
2013,15 – 65,Insgesamt,mit Migrationshintergrund,%,5.38
2013,15 – 25,Männer,mit Migrationshintergrund,%,4.92
2013,25 – 35,Männer,mit Migrationshintergrund,%,7.53
2013,35 – 45,Männer,mit Migrationshintergrund,%,6.97
2013,45 – 55,Männer,mit Migrationshintergrund,%,6.47
2013,55 – 65,Männer,mit Migrationshintergrund,%,8.39
2013,15 – 65,Männer,mit Migrationshintergrund,%,6.78
2013,15 – 25,Frauen,mit Migrationshintergrund,%,3.38
2013,25 – 35,Frauen,mit Migrationshintergrund,%,4.31
2013,35 – 45,Frauen,mit Migrationshintergrund,%,4.37
2013,45 – 55,Frauen,mit Migrationshintergrund,%,4.55
2013,55 – 65,Frauen,mit Migrationshintergrund,%,2.86
2013,15 – 65,Frauen,mit Migrationshintergrund,%,3.97
2012,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,3.79
2012,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,4.62
2012,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,3.69
2012,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,3.64
2012,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.22
2012,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.76
2012,15 – 25,Männer,mit und ohne Migrationshintergrund,%,4.03
2012,25 – 35,Männer,mit und ohne Migrationshintergrund,%,5.43
2012,35 – 45,Männer,mit und ohne Migrationshintergrund,%,4.25
2012,45 – 55,Männer,mit und ohne Migrationshintergrund,%,3.91
2012,55 – 65,Männer,mit und ohne Migrationshintergrund,%,3.92
2012,15 – 65,Männer,mit und ohne Migrationshintergrund,%,4.26
2012,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,3.53
2012,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,3.82
2012,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,3.13
2012,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,3.38
2012,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,2.51
2012,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,3.26
2012,15 – 25,Insgesamt,ohne Migrationshintergrund,%,3.49
2012,25 – 35,Insgesamt,ohne Migrationshintergrund,%,4.07
2012,35 – 45,Insgesamt,ohne Migrationshintergrund,%,3.2
2012,45 – 55,Insgesamt,ohne Migrationshintergrund,%,3.13
2012,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.72
2012,15 – 65,Insgesamt,ohne Migrationshintergrund,%,3.27
2012,15 – 25,Männer,ohne Migrationshintergrund,%,3.75
2012,25 – 35,Männer,ohne Migrationshintergrund,%,4.71
2012,35 – 45,Männer,ohne Migrationshintergrund,%,3.41
2012,45 – 55,Männer,ohne Migrationshintergrund,%,3.22
2012,55 – 65,Männer,ohne Migrationshintergrund,%,3.28
2012,15 – 65,Männer,ohne Migrationshintergrund,%,3.6
2012,15 – 25,Frauen,ohne Migrationshintergrund,%,3.22
2012,25 – 35,Frauen,ohne Migrationshintergrund,%,3.42
2012,35 – 45,Frauen,ohne Migrationshintergrund,%,2.99
2012,45 – 55,Frauen,ohne Migrationshintergrund,%,3.03
2012,55 – 65,Frauen,ohne Migrationshintergrund,%,2.16
2012,15 – 65,Frauen,ohne Migrationshintergrund,%,2.94
2012,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.89
2012,25 – 35,Insgesamt,mit Migrationshintergrund,%,6.49
2012,35 – 45,Insgesamt,mit Migrationshintergrund,%,6.02
2012,45 – 55,Insgesamt,mit Migrationshintergrund,%,6.82
2012,55 – 65,Insgesamt,mit Migrationshintergrund,%,6.36
2012,15 – 65,Insgesamt,mit Migrationshintergrund,%,6.11
2012,15 – 25,Männer,mit Migrationshintergrund,%,5.04
2012,25 – 35,Männer,mit Migrationshintergrund,%,7.91
2012,35 – 45,Männer,mit Migrationshintergrund,%,8.32
2012,45 – 55,Männer,mit Migrationshintergrund,%,8.19
2012,55 – 65,Männer,mit Migrationshintergrund,%,8.03
2012,15 – 65,Männer,mit Migrationshintergrund,%,7.43
2012,15 – 25,Frauen,mit Migrationshintergrund,%,4.71
2012,25 – 35,Frauen,mit Migrationshintergrund,%,5.15
2012,35 – 45,Frauen,mit Migrationshintergrund,%,3.79
2012,45 – 55,Frauen,mit Migrationshintergrund,%,5.5
2012,55 – 65,Frauen,mit Migrationshintergrund,%,4.74
2012,15 – 65,Frauen,mit Migrationshintergrund,%,4.79
2011,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,4.76
2011,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,5.1
2011,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,3.78
2011,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,4.2
2011,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,3.56
2011,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,4.23
2011,15 – 25,Männer,mit und ohne Migrationshintergrund,%,5.25
2011,25 – 35,Männer,mit und ohne Migrationshintergrund,%,5.37
2011,35 – 45,Männer,mit und ohne Migrationshintergrund,%,3.81
2011,45 – 55,Männer,mit und ohne Migrationshintergrund,%,4.48
2011,55 – 65,Männer,mit und ohne Migrationshintergrund,%,4.01
2011,15 – 65,Männer,mit und ohne Migrationshintergrund,%,4.53
2011,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,4.24
2011,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,4.84
2011,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,3.74
2011,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,3.92
2011,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,3.1
2011,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,3.93
2011,15 – 25,Insgesamt,ohne Migrationshintergrund,%,4.75
2011,25 – 35,Insgesamt,ohne Migrationshintergrund,%,4.6
2011,35 – 45,Insgesamt,ohne Migrationshintergrund,%,3.25
2011,45 – 55,Insgesamt,ohne Migrationshintergrund,%,3.69
2011,55 – 65,Insgesamt,ohne Migrationshintergrund,%,2.92
2011,15 – 65,Insgesamt,ohne Migrationshintergrund,%,3.76
2011,15 – 25,Männer,ohne Migrationshintergrund,%,5.08
2011,25 – 35,Männer,ohne Migrationshintergrund,%,4.45
2011,35 – 45,Männer,ohne Migrationshintergrund,%,3.23
2011,45 – 55,Männer,ohne Migrationshintergrund,%,3.73
2011,55 – 65,Männer,ohne Migrationshintergrund,%,3.27
2011,15 – 65,Männer,ohne Migrationshintergrund,%,3.87
2011,15 – 25,Frauen,ohne Migrationshintergrund,%,4.4
2011,25 – 35,Frauen,ohne Migrationshintergrund,%,4.74
2011,35 – 45,Frauen,ohne Migrationshintergrund,%,3.28
2011,45 – 55,Frauen,ohne Migrationshintergrund,%,3.65
2011,55 – 65,Frauen,ohne Migrationshintergrund,%,2.56
2011,15 – 65,Frauen,ohne Migrationshintergrund,%,3.65
2011,15 – 25,Insgesamt,mit Migrationshintergrund,%,4.78
2011,25 – 35,Insgesamt,mit Migrationshintergrund,%,6.84
2011,35 – 45,Insgesamt,mit Migrationshintergrund,%,6.33
2011,45 – 55,Insgesamt,mit Migrationshintergrund,%,7.42
2011,55 – 65,Insgesamt,mit Migrationshintergrund,%,7.84
2011,15 – 65,Insgesamt,mit Migrationshintergrund,%,6.55
2011,15 – 25,Männer,mit Migrationshintergrund,%,5.85
2011,25 – 35,Männer,mit Migrationshintergrund,%,8.47
2011,35 – 45,Männer,mit Migrationshintergrund,%,6.8
2011,45 – 55,Männer,mit Migrationshintergrund,%,9.35
2011,55 – 65,Männer,mit Migrationshintergrund,%,9.18
2011,15 – 65,Männer,mit Migrationshintergrund,%,7.8
2011,15 – 25,Frauen,mit Migrationshintergrund,%,3.63
2011,25 – 35,Frauen,mit Migrationshintergrund,%,5.2
2011,35 – 45,Frauen,mit Migrationshintergrund,%,5.9
2011,45 – 55,Frauen,mit Migrationshintergrund,%,5.58
2011,55 – 65,Frauen,mit Migrationshintergrund,%,6.58
2011,15 – 65,Frauen,mit Migrationshintergrund,%,5.32
