Year,Geschlecht,Rechtskreis,Migrationsstatus,Migrationserfahrung,Units,Value
2021,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,43.6432552166158
2021,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,45.9320053222492
2021,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,44.6591175629658
2021,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,50.2728038637961
2021,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,33.5076407038257
2020,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,42.5077184659086
2020,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,43.5215444679261
2020,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,42.9464376556965
2020,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,49.3718574071824
2020,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,32.5079031040639
2019,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,44.90079323332
2019,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,45.4522058325545
2019,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,45.1418454414647
2019,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,51.6150284229944
2019,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,34.1598939788277
2018,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,43.6050968610795
2018,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,43.6279829926327
2018,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,43.6156705747784
2018,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,49.9742878579678
2018,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,30.2014974479361
2017,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,42.6113516857408
2017,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,42.3703475196659
2017,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,42.5031559771811
2017,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,48.5362416322347
2017,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,30.5162676000318
2016,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,39.9650893274449
2016,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,39.8497296538164
2016,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,39.9136037333277
2016,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,45.0420553601468
2016,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,28.642489832958
2015,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,35.879706601467
2015,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,37.4342640437209
2015,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,36.5955964987258
2015,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,42.2259807447997
2015,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,24.0975112545655
2014,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,34.0014084775119
2014,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,35.5656238287365
2014,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,34.7261379423061
2014,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,40.2902662426309
2014,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,23.4448207078907
2013,männlich,Insgesamt,mit Migrationshintergrund,,Prozent,33.2038891932076
2013,weiblich,Insgesamt,mit Migrationshintergrund,,Prozent,34.6511341084663
2013,insgesamt,Insgesamt,mit Migrationshintergrund,,Prozent,33.8782056305212
2013,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Prozent,39.6547134040579
2013,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Prozent,23.2650520262058
2023,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,38.9414410726735
2023,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,45.6083492470972
2023,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,42.0310180463207
2023,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,48.102673700059
2023,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,28.2706843687708
2022,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,37.702724711964
2022,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,45.2619696012148
2022,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,41.2064154723831
2022,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,47.364805429981
2022,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,27.5073281023681
2021,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,33.5168070933316
2021,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,36.540654226894
2021,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,34.8589424520781
2021,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,39.3293457800957
2021,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,25.9785746167693
2020,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,32.8550965258232
2020,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,34.6125987207312
2020,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,33.6156313093727
2020,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,38.8930740064385
2020,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,25.0420641233776
2019,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,34.9380352220843
2019,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,36.3701626776112
2019,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,35.5640954281417
2019,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,40.9187591762979
2019,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,26.4797458046592
2018,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,34.0950999689216
2018,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,35.0949322642015
2018,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,34.5433228481556
2018,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,39.9549826759174
2018,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,23.126856248555
2017,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,33.2895143829261
2017,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,34.1278786943986
2017,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,33.6658872157623
2017,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,38.8552576791262
2017,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,23.3553416593748
2016,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,31.2736672421523
2016,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,32.1852398005758
2016,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,31.6833608357945
2016,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,35.9840954274354
2016,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,22.2313716263906
2015,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,28.1447432762836
2015,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,30.2013038347407
2015,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,29.0918108383325
2015,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,33.6950698728055
2015,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,18.8736940456978
2014,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,26.5383810122005
2014,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,28.9778865445246
2014,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,27.6686483615265
2014,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,32.1519817573081
2014,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,18.5786519460036
2013,männlich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,25.8109006964551
2013,weiblich,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,27.9765441926695
2013,insgesamt,Insgesamt,mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,26.8199413857414
2013,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,31.5509660763987
2013,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,mit eigene/r Migrationserfahrung,Prozent,18.1276494827024
2023,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.84628868156395
2023,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.02650439366566
2023,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.46638444515007
2023,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.96354962784806
2023,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.33964748954345
2022,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.84671602684017
2022,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.80086094920881
2022,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.36177646928709
2022,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.94579864274085
2022,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.06264295626549
2021,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,9.07563669597718
2021,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.07533356946231
2021,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.63165188581278
2021,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,9.55024948470322
2021,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.80687591545368
2020,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.61413416439515
2020,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.67335614195824
2020,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.20702547813806
2020,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,9.15063099101783
2020,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.67407368194944
2019,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.82445767668904
2019,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.7776423259783
2019,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.36683818783641
2019,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,9.26570793961525
2019,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.84187836305865
2018,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.40774888635657
2018,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.36475184821052
2018,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.94052044609665
2018,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.66035524907057
2018,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.42195308470718
2017,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.23828487472935
2017,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.11294092521624
2017,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.73307623882092
2017,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,8.31011178373531
2017,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.58658817914247
2016,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.76047081715774
2016,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.67790183273646
2016,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.27431340193183
2016,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.86205841871846
2016,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,5.98258999092528
2015,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.01515892420538
2015,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.31752615116692
2015,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.69389176440793
2015,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.46100745411966
2015,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,4.99108128769218
2014,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.85490778278993
2014,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,5.84033335538065
2014,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.38483696984555
2014,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.21928600300486
2014,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,4.69298449073
2013,männlich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.8305422959543
2013,weiblich,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.00410364506834
2013,insgesamt,Insgesamt,mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,6.44547881371427
2013,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,7.2606994473801
2013,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,ohne eigene/r Migrationserfahrung,Prozent,4.9476773485904
