Year,Fächergruppe,Nationalität,Geschlecht,Units,Value
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8557
2016,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2113
2016,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1279
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1171
2016,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5384
2016,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,894
2016,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,16
2016,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22054
2017,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2356
2017,"Sport",Deutsche,Insgesamt,Anzahl,247
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8982
2017,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2092
2017,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1305
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1216
2017,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5215
2017,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,883
2017,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,25
2017,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22321
2018,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2381
2018,"Sport",Deutsche,Insgesamt,Anzahl,255
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9171
2018,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2229
2018,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1325
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1238
2018,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5314
2018,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,803
2018,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,14
2018,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22730
2019,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2412
2019,"Sport",Deutsche,Insgesamt,Anzahl,240
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9376
2019,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2284
2019,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1365
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1302
2019,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5354
2019,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,882
2019,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,27
2019,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,23242
2020,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2331
2020,"Sport",Deutsche,Insgesamt,Anzahl,237
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,8967
2020,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2176
2020,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1294
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1396
2020,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4961
2020,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,828
2020,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,28
2020,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,22218
2021,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2317
2021,"Sport",Deutsche,Insgesamt,Anzahl,242
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9610
2021,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2173
2021,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1508
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1227
2021,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,5394
2021,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,793
2021,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,28
2021,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,23292
2022,"Geisteswissenschaften",Deutsche,Insgesamt,Anzahl,2303
2022,"Sport",Deutsche,Insgesamt,Anzahl,208
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Insgesamt,Anzahl,9026
2022,"Mathematik, Naturwissenschaften",Deutsche,Insgesamt,Anzahl,2081
2022,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Insgesamt,Anzahl,1394
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Insgesamt,Anzahl,1137
2022,"Ingenieurwissenschaften",Deutsche,Insgesamt,Anzahl,4930
2022,"Kunst, Kunstwissenschaften",Deutsche,Insgesamt,Anzahl,833
2022,"Außerhalb der Studienbereichsgliederung",Deutsche,Insgesamt,Anzahl,22
2022,"Fächerguppen zusammen",Deutsche,Insgesamt,Anzahl,21934
2013,"Geisteswissenschaften",Deutsche,Männer,Anzahl,741
2013,"Sport",Deutsche,Männer,Anzahl,129
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,2898
2013,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,1660
2013,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,339
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,465
2013,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3801
2013,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,267
2013,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,1
2013,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10301
2014,"Geisteswissenschaften",Deutsche,Männer,Anzahl,687
2014,"Sport",Deutsche,Männer,Anzahl,97
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,2781
2014,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,1635
2014,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,332
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,479
2014,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3739
2014,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,243
2014,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,
2014,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9993
2015,"Geisteswissenschaften",Deutsche,Männer,Anzahl,659
2015,"Sport",Deutsche,Männer,Anzahl,140
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3016
2015,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,1857
2015,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,310
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,574
2015,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3763
2015,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,284
2015,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,3
2015,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10606
2016,"Geisteswissenschaften",Deutsche,Männer,Anzahl,575
2016,"Sport",Deutsche,Männer,Anzahl,147
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3221
2016,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,944
2016,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,322
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,561
2016,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4301
2016,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,268
2016,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,4
2016,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10343
2017,"Geisteswissenschaften",Deutsche,Männer,Anzahl,543
2017,"Sport",Deutsche,Männer,Anzahl,132
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3325
2017,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,918
2017,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,322
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,576
2017,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4088
2017,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,287
2017,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,13
2017,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10204
2018,"Geisteswissenschaften",Deutsche,Männer,Anzahl,554
2018,"Sport",Deutsche,Männer,Anzahl,131
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3429
2018,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,1018
2018,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,350
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,618
2018,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4221
2018,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,259
2018,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,6
2018,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10586
2019,"Geisteswissenschaften",Deutsche,Männer,Anzahl,585
2019,"Sport",Deutsche,Männer,Anzahl,118
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3402
2019,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,987
2019,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,337
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,589
2019,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4147
2019,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,292
2019,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,11
2019,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10468
2020,"Geisteswissenschaften",Deutsche,Männer,Anzahl,538
2020,"Sport",Deutsche,Männer,Anzahl,121
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3243
2020,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,916
2020,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,319
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,551
2020,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3769
2020,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,275
2020,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,9
2020,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9741
2021,"Geisteswissenschaften",Deutsche,Männer,Anzahl,511
2021,"Sport",Deutsche,Männer,Anzahl,112
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3528
2021,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,902
2021,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,354
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,546
2021,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,4024
2021,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,234
2021,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,7
2021,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,10218
2022,"Geisteswissenschaften",Deutsche,Männer,Anzahl,525
2022,"Sport",Deutsche,Männer,Anzahl,104
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Männer,Anzahl,3255
2022,"Mathematik, Naturwissenschaften",Deutsche,Männer,Anzahl,853
2022,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Männer,Anzahl,374
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Männer,Anzahl,523
2022,"Ingenieurwissenschaften",Deutsche,Männer,Anzahl,3737
2022,"Kunst, Kunstwissenschaften",Deutsche,Männer,Anzahl,262
2022,"Außerhalb der Studienbereichsgliederung",Deutsche,Männer,Anzahl,2
2022,"Fächerguppen zusammen",Deutsche,Männer,Anzahl,9635
2013,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,2944
2013,"Sport",Deutsche,Frauen,Anzahl,148
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,4173
2013,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1182
2013,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,829
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,599
2013,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1071
2013,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,697
2013,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,
2013,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,11643
2014,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,2655
2014,"Sport",Deutsche,Frauen,Anzahl,155
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,3931
2014,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1424
2014,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,865
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,569
2014,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,971
2014,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,622
2014,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,
2014,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,11192
2015,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,2701
2015,"Sport",Deutsche,Frauen,Anzahl,142
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,4310
2015,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1367
2015,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,906
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,617
2015,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1026
2015,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,636
2015,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,1
2015,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,11706
2016,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1803
2016,"Sport",Deutsche,Frauen,Anzahl,115
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,5336
2016,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1169
2016,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,957
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,610
2016,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1083
2016,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,626
2016,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,12
2016,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,11711
2017,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1813
2017,"Sport",Deutsche,Frauen,Anzahl,115
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,5657
2017,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1174
2017,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,983
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,640
2017,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1127
2017,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,596
2017,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,12
2017,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,12117
2018,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1827
2018,"Sport",Deutsche,Frauen,Anzahl,124
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,5742
2018,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1211
2018,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,975
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,620
2018,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1093
2018,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,544
2018,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,8
2018,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,12144
2019,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1827
2019,"Sport",Deutsche,Frauen,Anzahl,122
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,5974
2019,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1297
2019,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,1028
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,713
2019,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1207
2019,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,590
2019,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,16
2019,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,12774
2020,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1793
2020,"Sport",Deutsche,Frauen,Anzahl,116
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,5724
2020,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1260
2020,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,975
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,845
2020,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1192
2020,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,553
2020,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,19
2020,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,12477
2021,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1806
2021,"Sport",Deutsche,Frauen,Anzahl,130
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,6082
2021,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1271
2021,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,1154
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,681
2021,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1370
2021,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,559
2021,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,21
2021,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,13074
2022,"Geisteswissenschaften",Deutsche,Frauen,Anzahl,1778
2022,"Sport",Deutsche,Frauen,Anzahl,104
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Deutsche,Frauen,Anzahl,5771
2022,"Mathematik, Naturwissenschaften",Deutsche,Frauen,Anzahl,1228
2022,"Humanmedizin, Gesundheitswissenschaften",Deutsche,Frauen,Anzahl,1020
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Deutsche,Frauen,Anzahl,614
2022,"Ingenieurwissenschaften",Deutsche,Frauen,Anzahl,1193
2022,"Kunst, Kunstwissenschaften",Deutsche,Frauen,Anzahl,571
2022,"Außerhalb der Studienbereichsgliederung",Deutsche,Frauen,Anzahl,20
2022,"Fächerguppen zusammen",Deutsche,Frauen,Anzahl,12299
2013,"Geisteswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,135
2013,"Sport",Ausländerinnen und Ausländer,Insgesamt,Anzahl,3
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,296
2013,"Mathematik, Naturwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,126
2013,"Humanmedizin, Gesundheitswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,61
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Ausländerinnen und Ausländer,Insgesamt,Anzahl,33
2013,"Ingenieurwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,436
2013,"Kunst, Kunstwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,108
2013,"Außerhalb der Studienbereichsgliederung",Ausländerinnen und Ausländer,Insgesamt,Anzahl,
2013,"Fächerguppen zusammen",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1198
2014,"Geisteswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,93
2014,"Sport",Ausländerinnen und Ausländer,Insgesamt,Anzahl,4
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,268
2014,"Mathematik, Naturwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,132
2014,"Humanmedizin, Gesundheitswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,61
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Ausländerinnen und Ausländer,Insgesamt,Anzahl,15
2014,"Ingenieurwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,385
2014,"Kunst, Kunstwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,84
2014,"Außerhalb der Studienbereichsgliederung",Ausländerinnen und Ausländer,Insgesamt,Anzahl,
2014,"Fächerguppen zusammen",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1042
2015,"Geisteswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,101
2015,"Sport",Ausländerinnen und Ausländer,Insgesamt,Anzahl,2
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,247
2015,"Mathematik, Naturwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,118
2015,"Humanmedizin, Gesundheitswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,51
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Ausländerinnen und Ausländer,Insgesamt,Anzahl,21
2015,"Ingenieurwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,385
2015,"Kunst, Kunstwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,113
2015,"Außerhalb der Studienbereichsgliederung",Ausländerinnen und Ausländer,Insgesamt,Anzahl,
2015,"Fächerguppen zusammen",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1038
2016,"Geisteswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,84
2016,"Sport",Ausländerinnen und Ausländer,Insgesamt,Anzahl,3
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,287
2016,"Mathematik, Naturwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,84
2016,"Humanmedizin, Gesundheitswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,50
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Ausländerinnen und Ausländer,Insgesamt,Anzahl,24
2016,"Ingenieurwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,449
2016,"Kunst, Kunstwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,77
2016,"Außerhalb der Studienbereichsgliederung",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1
2016,"Fächerguppen zusammen",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1059
2017,"Geisteswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,78
2017,"Sport",Ausländerinnen und Ausländer,Insgesamt,Anzahl,2
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,255
2017,"Mathematik, Naturwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,76
2017,"Humanmedizin, Gesundheitswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,45
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Ausländerinnen und Ausländer,Insgesamt,Anzahl,30
2017,"Ingenieurwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,433
2017,"Kunst, Kunstwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,86
2017,"Außerhalb der Studienbereichsgliederung",Ausländerinnen und Ausländer,Insgesamt,Anzahl,
2017,"Fächerguppen zusammen",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1005
2018,"Geisteswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,89
2018,"Sport",Ausländerinnen und Ausländer,Insgesamt,Anzahl,0
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,296
2018,"Mathematik, Naturwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,77
2018,"Humanmedizin, Gesundheitswissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,57
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Ausländerinnen und Ausländer,Insgesamt,Anzahl,24
2018,"Ingenieurwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,445
2018,"Kunst, Kunstwissenschaften",Ausländerinnen und Ausländer,Insgesamt,Anzahl,58
2018,"Außerhalb der Studienbereichsgliederung",Ausländerinnen und Ausländer,Insgesamt,Anzahl,1
