Year,Land der Staatsangehörigkeit,Kategorie,Value
WS 2021/22,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),337
WS 2021/22,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),305
WS 2021/22,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),562
WS 2021/22,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),8664
WS 2022/23,"China",Bildungsausländerinnen und Bildungsausländer (Frauen),1387
WS 2022/23,"Indien",Bildungsausländerinnen und Bildungsausländer (Frauen),597
WS 2022/23,"Syrien, Arab. Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),335
WS 2022/23,"Türkei",Bildungsausländerinnen und Bildungsausländer (Frauen),351
WS 2022/23,"Iran, Islamische Republik",Bildungsausländerinnen und Bildungsausländer (Frauen),643
WS 2022/23,"Staaten insgesamt",Bildungsausländerinnen und Bildungsausländer (Frauen),8968
WS 2005/06,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),113
WS 2005/06,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),686
WS 2005/06,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),7
WS 2005/06,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),14
WS 2005/06,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),123
WS 2005/06,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),2939
WS 2010/11,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),94
WS 2010/11,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),777
WS 2010/11,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),22
WS 2010/11,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),6
WS 2010/11,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),91
WS 2010/11,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),3055
WS 2015/16,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),249
WS 2015/16,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1409
WS 2015/16,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),52
WS 2015/16,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),12
WS 2015/16,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),85
WS 2015/16,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4478
WS 2016/17,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),186
WS 2016/17,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1516
WS 2016/17,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),58
WS 2016/17,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),8
WS 2016/17,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),67
WS 2016/17,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4555
WS 2017/18,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),168
WS 2017/18,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1567
WS 2017/18,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),66
WS 2017/18,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),8
WS 2017/18,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),60
WS 2017/18,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4485
WS 2018/19,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),156
WS 2018/19,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1549
WS 2018/19,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),99
WS 2018/19,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),6
WS 2018/19,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),65
WS 2018/19,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4521
WS 2019/20,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),155
WS 2019/20,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1481
WS 2019/20,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),136
WS 2019/20,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4
WS 2019/20,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),58
WS 2019/20,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4483
WS 2020/21,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),129
WS 2020/21,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1401
WS 2020/21,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),223
WS 2020/21,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),9
WS 2020/21,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),62
WS 2020/21,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4464
WS 2021/22,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),113
WS 2021/22,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),12
WS 2021/22,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),376
WS 2021/22,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1181
WS 2021/22,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),67
WS 2021/22,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4290
WS 2022/23,"China",Bildungsinländerinnen und Bildungsinländer (Insgesamt),141
WS 2022/23,"Indien",Bildungsinländerinnen und Bildungsinländer (Insgesamt),27
WS 2022/23,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),518
WS 2022/23,"Türkei",Bildungsinländerinnen und Bildungsinländer (Insgesamt),1037
WS 2022/23,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Insgesamt),70
WS 2022/23,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Insgesamt),4430
WS 2005/06,"China",Bildungsinländerinnen und Bildungsinländer (Männer),64
WS 2005/06,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),403
WS 2005/06,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),3
WS 2005/06,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),10
WS 2005/06,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),77
WS 2005/06,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),1636
WS 2010/11,"China",Bildungsinländerinnen und Bildungsinländer (Männer),55
WS 2010/11,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),397
WS 2010/11,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),14
WS 2010/11,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),5
WS 2010/11,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),57
WS 2010/11,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),1611
WS 2015/16,"China",Bildungsinländerinnen und Bildungsinländer (Männer),150
WS 2015/16,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),660
WS 2015/16,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),29
WS 2015/16,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),8
WS 2015/16,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),44
WS 2015/16,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2210
WS 2016/17,"China",Bildungsinländerinnen und Bildungsinländer (Männer),107
WS 2016/17,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),712
WS 2016/17,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),32
WS 2016/17,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),5
WS 2016/17,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),34
WS 2016/17,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2250
WS 2017/18,"China",Bildungsinländerinnen und Bildungsinländer (Männer),100
WS 2017/18,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),746
WS 2017/18,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),32
WS 2017/18,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),6
WS 2017/18,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),29
WS 2017/18,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2201
WS 2018/19,"China",Bildungsinländerinnen und Bildungsinländer (Männer),94
WS 2018/19,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),736
WS 2018/19,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),58
WS 2018/19,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),4
WS 2018/19,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),31
WS 2018/19,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2200
WS 2019/20,"China",Bildungsinländerinnen und Bildungsinländer (Männer),85
WS 2019/20,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),697
WS 2019/20,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),80
WS 2019/20,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),3
WS 2019/20,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),30
WS 2019/20,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2153
WS 2020/21,"China",Bildungsinländerinnen und Bildungsinländer (Männer),72
WS 2020/21,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),669
WS 2020/21,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),137
WS 2020/21,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),6
WS 2020/21,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),32
WS 2020/21,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2152
WS 2021/22,"China",Bildungsinländerinnen und Bildungsinländer (Männer),60
WS 2021/22,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),5
WS 2021/22,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),236
WS 2021/22,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),561
WS 2021/22,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),30
WS 2021/22,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2114
WS 2022/23,"China",Bildungsinländerinnen und Bildungsinländer (Männer),77
WS 2022/23,"Indien",Bildungsinländerinnen und Bildungsinländer (Männer),18
WS 2022/23,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Männer),313
WS 2022/23,"Türkei",Bildungsinländerinnen und Bildungsinländer (Männer),487
WS 2022/23,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Männer),33
WS 2022/23,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Männer),2182
WS 2005/06,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),49
WS 2005/06,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),283
WS 2005/06,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),4
WS 2005/06,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),4
WS 2005/06,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),46
WS 2005/06,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),1303
WS 2010/11,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),39
WS 2010/11,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),380
WS 2010/11,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),8
WS 2010/11,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),1
WS 2010/11,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),34
WS 2010/11,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),1444
WS 2015/16,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),99
WS 2015/16,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),749
WS 2015/16,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),23
WS 2015/16,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),4
WS 2015/16,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),41
WS 2015/16,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2268
WS 2016/17,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),79
WS 2016/17,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),804
WS 2016/17,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),26
WS 2016/17,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),3
WS 2016/17,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),33
WS 2016/17,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2305
WS 2017/18,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),68
WS 2017/18,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),821
WS 2017/18,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),34
WS 2017/18,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),2
WS 2017/18,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),31
WS 2017/18,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2284
WS 2018/19,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),62
WS 2018/19,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),813
WS 2018/19,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),41
WS 2018/19,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),2
WS 2018/19,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),34
WS 2018/19,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2321
WS 2019/20,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),70
WS 2019/20,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),784
WS 2019/20,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),65
WS 2019/20,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),1
WS 2019/20,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),28
WS 2019/20,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2330
WS 2020/21,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),57
WS 2020/21,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),732
WS 2020/21,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),86
WS 2020/21,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),3
WS 2020/21,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),30
WS 2020/21,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2312
WS 2021/22,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),53
WS 2021/22,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),7
WS 2021/22,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),140
WS 2021/22,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),620
WS 2021/22,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),37
WS 2021/22,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2176
WS 2022/23,"China",Bildungsinländerinnen und Bildungsinländer (Frauen),64
WS 2022/23,"Indien",Bildungsinländerinnen und Bildungsinländer (Frauen),9
WS 2022/23,"Syrien, Arab. Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),205
WS 2022/23,"Türkei",Bildungsinländerinnen und Bildungsinländer (Frauen),550
WS 2022/23,"Iran, Islamische Republik",Bildungsinländerinnen und Bildungsinländer (Frauen),37
WS 2022/23,"Staaten insgesamt",Bildungsinländerinnen und Bildungsinländer (Frauen),2248
