Year,Altersgruppe,Geschlecht,Units,Value
2019,15 – 20,Insgesamt,%,29.5341228863347
2019,20 – 40,Insgesamt,%,29.4179748134184
2019,40 – 65,Insgesamt,%,18.71777792316
2019,65 – 80,Insgesamt,%,11.1339417984809
2019,80 und älter,Insgesamt,%,6.87906754345024
2019,Insgesamt,Insgesamt,%,22.318593133632
2018,0 – 3,Insgesamt,%,37.1486382000789
2018,3 – 6,Insgesamt,%,37.1650678949092
2018,6 – 15,Insgesamt,%,34.517165523803
2018,15 – 20,Insgesamt,%,28.5927758012738
2018,20 – 40,Insgesamt,%,29.5093150964127
2018,40 – 65,Insgesamt,%,18.5439124013099
2018,65 – 80,Insgesamt,%,10.6166449594968
2018,80 und älter,Insgesamt,%,7.09102867990764
2018,Insgesamt,Insgesamt,%,22.0630280242962
2017,0 – 3,Insgesamt,%,37.4591933847881
2017,3 – 6,Insgesamt,%,36.2740945641457
2017,6 – 15,Insgesamt,%,34.0240748216432
2017,15 – 20,Insgesamt,%,29.0443277542615
2017,20 – 40,Insgesamt,%,29.8830146492458
2017,40 – 65,Insgesamt,%,18.2227090312209
2017,65 – 80,Insgesamt,%,10.1044852954493
2017,80 und älter,Insgesamt,%,7.58416352216405
2017,Insgesamt,Insgesamt,%,22.0706299310604
2016,0 – 3,Insgesamt,%,36.3010531923966
2016,3 – 6,Insgesamt,%,34.8144961637879
2016,6 – 15,Insgesamt,%,31.0365771451249
2016,15 – 20,Insgesamt,%,24.575651661873
2016,20 – 40,Insgesamt,%,25.8538057358463
2016,40 – 65,Insgesamt,%,16.303277433019
2016,65 – 80,Insgesamt,%,9.4759956092423
2016,80 und älter,Insgesamt,%,6.95039620232223
2016,Insgesamt,Insgesamt,%,19.5825532484315
2015,0 – 3,Insgesamt,%,33.3701542492959
2015,3 – 6,Insgesamt,%,32.0744546072454
2015,6 – 15,Insgesamt,%,28.9583120537458
2015,15 – 20,Insgesamt,%,22.9260020105608
2015,20 – 40,Insgesamt,%,23.0357417284633
2015,40 – 65,Insgesamt,%,15.2042592722038
2015,65 – 80,Insgesamt,%,8.91143160070477
2015,80 und älter,Insgesamt,%,5.74759584343988
2015,Insgesamt,Insgesamt,%,17.8363704891852
2014,0 – 3,Insgesamt,%,32.3680972060473
2014,3 – 6,Insgesamt,%,31.0502219181052
2014,6 – 15,Insgesamt,%,28.1483489538942
2014,15 – 20,Insgesamt,%,22.4991567847432
2014,20 – 40,Insgesamt,%,22.3317705981727
2014,40 – 65,Insgesamt,%,14.8874658685453
2014,65 – 80,Insgesamt,%,8.55756868156312
2014,80 und älter,Insgesamt,%,6.15455745682647
2014,Insgesamt,Insgesamt,%,17.4034676128144
2013,0 – 3,Insgesamt,%,31.1489092893257
2013,3 – 6,Insgesamt,%,30.8825745879238
2013,6 – 15,Insgesamt,%,27.1210499166119
2013,15 – 20,Insgesamt,%,22.3499263532969
2013,20 – 40,Insgesamt,%,23.1278821271605
2013,40 – 65,Insgesamt,%,14.5014695349784
2013,65 – 80,Insgesamt,%,8.14833307969798
2013,80 und älter,Insgesamt,%,6.25948605454278
2013,Insgesamt,Insgesamt,%,17.2925060512151
2012,0 – 3,Insgesamt,%,29.9848971017211
2012,3 – 6,Insgesamt,%,29.7814098538914
2012,6 – 15,Insgesamt,%,26.5325167220018
2012,15 – 20,Insgesamt,%,21.6563848706117
2012,20 – 40,Insgesamt,%,22.1397562965186
2012,40 – 65,Insgesamt,%,13.8378629873635
2012,65 – 80,Insgesamt,%,8.16123158030556
2012,80 und älter,Insgesamt,%,5.52308393891367
2012,Insgesamt,Insgesamt,%,16.6968511686953
2011,0 – 3,Insgesamt,%,29.9667730990906
2011,3 – 6,Insgesamt,%,28.7903100898097
2011,6 – 15,Insgesamt,%,25.4796060272857
2011,15 – 20,Insgesamt,%,21.5240536771099
2011,20 – 40,Insgesamt,%,21.782958375992
2011,40 – 65,Insgesamt,%,13.5177625841895
2011,65 – 80,Insgesamt,%,7.51203915333878
2011,80 und älter,Insgesamt,%,5.25335579093793
2011,Insgesamt,Insgesamt,%,16.2966484698593
2010,0 – 3,Insgesamt,%,31.8646031091345
2010,3 – 6,Insgesamt,%,30.7831513220131
2010,6 – 15,Insgesamt,%,25.0216819284248
2010,15 – 20,Insgesamt,%,21.6886629563599
2010,20 – 40,Insgesamt,%,22.2599815096389
2010,40 – 65,Insgesamt,%,14.316212698698
2010,65 – 80,Insgesamt,%,7.90861116488602
2010,80 und älter,Insgesamt,%,4.98633581681347
2010,Insgesamt,Insgesamt,%,16.8480059648252
